ttb_id,category,brand_name,fanciful_name,class_code,class_type,origin_code,origin,permit,approved,status,alcohol_content,net_contents,name_address,country_of_origin,appellation,varietal,vintage,notes
24023001000456,wine,KENDALL-JACKSON,VINTNER'S RESERVE CHARDONNAY,101,TABLE WINE,01,CALIFORNIA,BW-CA-KJ-1,01/23/2024,approved,13.5% Alc. By Vol.,750 mL,"Kendall-Jackson Wine Estates, Sonoma County, CA 95448",,California,Chardonnay,2022,"Best-selling US Chardonnay, multi-region blend"
24034001000567,wine,CAYMUS,CABERNET SAUVIGNON,101,TABLE WINE,01,CALIFORNIA,BW-CA-CAY-1,02/03/2024,approved,14.8% Alc. By Vol.,750 mL,"Caymus Vineyards, Rutherford, CA 94573",,Napa Valley,Cabernet Sauvignon,2021,Already in sampleData.ts — premium Napa cab
24045001000678,wine,OPUS ONE,,101,TABLE WINE,01,CALIFORNIA,BW-CA-OPO-1,02/14/2024,approved,14.5% Alc. By Vol.,750 mL,"Opus One Winery, Oakville, CA 94562",,Napa Valley,Bordeaux Blend,2020,Already in sampleData.ts — ultra-premium
24056001000234,wine,SILVER OAK,CABERNET SAUVIGNON,101,TABLE WINE,01,CALIFORNIA,BW-CA-SO-1,02/25/2024,approved,14.2% Alc. By Vol.,750 mL,"Silver Oak Cellars, Oakville, CA 94562",,Alexander Valley,Cabernet Sauvignon,2019,"Iconic Sonoma cab, 24 months American oak"
24067001000345,wine,RIDGE VINEYARDS,MONTE BELLO,101,TABLE WINE,01,CALIFORNIA,BW-CA-RID-1,03/08/2024,approved,14.3% Alc. By Vol.,750 mL,"Ridge Vineyards, Cupertino, CA 95014",,Santa Cruz Mountains,Cabernet Sauvignon,2020,"Historic estate cab, Judgment of Paris fame"
24012001000123,wine,CHATEAU STE. MICHELLE,RIESLING,101,TABLE WINE,07,WASHINGTON,BW-WA-CSM-1,01/12/2024,approved,12.0% Alc. By Vol.,750 mL,"Chateau Ste. Michelle, Woodinville, WA 98072",,Columbia Valley,Riesling,2022,"Washington's oldest winery, off-dry Riesling"
24023001000789,wine,WILLAMETTE VALLEY VINEYARDS,PINOT NOIR,101,TABLE WINE,38,OREGON,BW-OR-WVV-1,01/23/2024,approved,13.5% Alc. By Vol.,750 mL,"Willamette Valley Vineyards, Turner, OR 97392",,Willamette Valley,Pinot Noir,2021,"Oregon Pinot Noir, cool-climate elegance"
24034001000891,wine,KIM CRAWFORD,SAUVIGNON BLANC,101,TABLE WINE,00,NEW ZEALAND,IM-NZ-KC-1,02/03/2024,approved,13.0% Alc. By Vol.,750 mL,"Kim Crawford Wines, Marlborough, New Zealand",New Zealand,Marlborough,Sauvignon Blanc,2023,Already in sampleData.ts — imported NZ white
24045001000123,wine,MEIOMI,PINOT NOIR,101,TABLE WINE,01,CALIFORNIA,BW-CA-MEI-1,02/14/2024,approved,13.7% Alc. By Vol.,750 mL,"Meiomi Wines, Acampo, CA 95220",,California,Pinot Noir,2022,"Multi-coastal blend (Monterey, Sonoma, Santa Barbara)"
24056001000456,wine,WHISPERING ANGEL,ROSÉ,101,TABLE WINE,00,FRANCE,IM-FR-WA-1,02/25/2024,approved,13.0% Alc. By Vol.,750 mL,"Château d'Esclans, Côtes de Provence, France",France,Côtes de Provence,Grenache/Cinsault Blend,2023,Already in sampleData.ts — iconic Provence rosé
24067001000567,wine,CLOUDY BAY,SAUVIGNON BLANC,101,TABLE WINE,00,NEW ZEALAND,IM-NZ-CB-1,03/08/2024,approved,13.5% Alc. By Vol.,750 mL,"Cloudy Bay Vineyards, Blenheim, New Zealand",New Zealand,Marlborough,Sauvignon Blanc,2023,"Pioneering Marlborough Sauvignon Blanc, LVMH-owned"
24078001000678,wine,SANTA MARGHERITA,PINOT GRIGIO,101,TABLE WINE,00,ITALY,IM-IT-SM-1,03/19/2024,approved,12.5% Alc. By Vol.,750 mL,"Santa Margherita S.p.A., Fossalta di Portogruaro, Italy",Italy,Alto Adige,Pinot Grigio,2022,"Italy's best-selling Pinot Grigio in the US"
24089001000789,wine,ANTINORI,TIGNANELLO,101,TABLE WINE,00,ITALY,IM-IT-ANT-1,03/30/2024,approved,14.0% Alc. By Vol.,750 mL,"Marchesi Antinori S.p.A., Florence, Italy",Italy,Toscana IGT,Sangiovese/Cabernet Blend,2020,"Super Tuscan, one of Italy's most celebrated wines"
24023001000234,wine,DOMAINES BARONS DE ROTHSCHILD,LÉGENDE BORDEAUX ROUGE,101,TABLE WINE,00,FRANCE,IM-FR-LR-1,01/23/2024,approved,13.5% Alc. By Vol.,750 mL,"Domaines Barons de Rothschild (Lafite), Pauillac, France",France,Bordeaux,Merlot/Cabernet Sauvignon Blend,2020,"Lafite Rothschild's accessible Bordeaux, imported"
24034001000345,wine,PENFOLDS,BIN 389 CABERNET SHIRAZ,101,TABLE WINE,00,AUSTRALIA,IM-AU-PEN-1,02/03/2024,approved,14.5% Alc. By Vol.,750 mL,"Penfolds Wines Pty Ltd, Magill, South Australia",Australia,South Australia,Cabernet Sauvignon/Shiraz Blend,2021,"Iconic Australian blend, sometimes called 'Baby Grange'"
#
# ======================== SPIRITS (Distilled Spirits) ========================
#
24012001000345,spirits,JACK DANIEL'S,OLD NO. 7,341,TENNESSEE WHISKEY,43,TENNESSEE,DSP-TN-JD-1,01/12/2024,approved,40% Alc./Vol. (80 Proof),750 mL,"Jack Daniel Distillery, Lynchburg, TN 37352",,,,,Already in sampleData.ts — Tennessee sour mash whiskey
24023001000678,spirits,MAKER'S MARK,,351,KENTUCKY STRAIGHT BOURBON WHISKEY,21,KENTUCKY,DSP-KY-MM-1,01/23/2024,approved,45% Alc./Vol. (90 Proof),750 mL,"Maker's Mark Distillery Inc., Loretto, KY 40037",,,,,"Already in sampleData.ts — wheated bourbon, hand-dipped wax seal"
24034001000789,spirits,HENNESSY,V.S,361,COGNAC,00,FRANCE,IM-FR-HEN-1,02/03/2024,approved,40% Alc./Vol. (80 Proof),750 mL,"Jas Hennessy & Co., Cognac, France",France,,,,Already in sampleData.ts — imported VS Cognac
24045001000891,spirits,PATRON,SILVER,371,TEQUILA,00,MEXICO,IM-MX-PAT-1,02/14/2024,approved,40% Alc./Vol. (80 Proof),750 mL,"The Patron Spirits Company, Jalisco, Mexico",Mexico,,,,"Already in sampleData.ts — 100% Weber Blue Agave"
24056001000123,spirits,TITO'S,HANDMADE VODKA,311,VODKA,44,TEXAS,DSP-TX-TIT-1,02/25/2024,approved,40% Alc./Vol. (80 Proof),750 mL,"Fifth Generation Inc., Austin, TX 78702",,,,,"Already in sampleData.ts — corn-based, gluten-free vodka"
24067001000234,spirits,WOODFORD RESERVE,DOUBLE OAKED,351,KENTUCKY STRAIGHT BOURBON WHISKEY,21,KENTUCKY,DSP-KY-WR-1,03/08/2024,approved,45.2% Alc./Vol. (90.4 Proof),750 mL,"Woodford Reserve Distillery, Versailles, KY 40383",,,,,"Already in sampleData.ts — twice-barreled bourbon, Brown-Forman"
24078001000345,spirits,BUFFALO TRACE,,351,KENTUCKY STRAIGHT BOURBON WHISKEY,21,KENTUCKY,DSP-KY-BT-1,03/19/2024,approved,45% Alc./Vol. (90 Proof),750 mL,"Buffalo Trace Distillery, Frankfort, KY 40601",,,,,"Sazerac Company, highly allocated bourbon"
24089001000456,spirits,WILD TURKEY,101,351,KENTUCKY STRAIGHT BOURBON WHISKEY,21,KENTUCKY,DSP-KY-WT-1,03/30/2024,approved,50.5% Alc./Vol. (101 Proof),750 mL,"Austin Nichols Distilling Co., Lawrenceburg, KY 40342",,,,,"High-proof bourbon, Campari Group-owned"
24091001000567,spirits,KNOB CREEK,SMALL BATCH,351,KENTUCKY STRAIGHT BOURBON WHISKEY,21,KENTUCKY,DSP-KY-KC-1,04/01/2024,approved,50% Alc./Vol. (100 Proof),750 mL,"Jim Beam Brands Co., Clermont, KY 40110",,,,,"Beam Suntory, 9 year age statement, pre-barreled"
24023001000345,spirits,BULLEIT,BOURBON,351,KENTUCKY STRAIGHT BOURBON WHISKEY,21,KENTUCKY,DSP-KY-BUL-1,01/23/2024,approved,45% Alc./Vol. (90 Proof),750 mL,"Bulleit Distilling Co., Shelbyville, KY 40065",,,,,"High-rye bourbon (28% rye), Diageo-owned"
24034001000456,spirits,BASIL HAYDEN'S,,351,KENTUCKY STRAIGHT BOURBON WHISKEY,21,KENTUCKY,DSP-KY-BH-1,02/03/2024,approved,40% Alc./Vol. (80 Proof),750 mL,"Jim Beam Brands Co., Clermont, KY 40110",,,,,"Light, spicy bourbon, high rye content, Beam Suntory"
24045001000567,spirits,ELIJAH CRAIG,SMALL BATCH,351,KENTUCKY STRAIGHT BOURBON WHISKEY,21,KENTUCKY,DSP-KY-EC-1,02/14/2024,approved,47% Alc./Vol. (94 Proof),750 mL,"Heaven Hill Distillery, Bardstown, KY 40004",,,,,"Named for Baptist minister credited with charred-barrel aging"
24056001000678,spirits,ANGEL'S ENVY,,351,KENTUCKY STRAIGHT BOURBON WHISKEY,21,KENTUCKY,DSP-KY-AE-1,02/25/2024,approved,43.3% Alc./Vol. (86.6 Proof),750 mL,"Louisville Distilling Company, Louisville, KY 40206",,,,,"Port wine barrel-finished bourbon, Bacardi-owned"
24067001000789,spirits,HENDRICK'S,GIN,321,GIN,00,SCOTLAND,IM-UK-HEN-1,03/08/2024,approved,44% Alc./Vol. (88 Proof),750 mL,"William Grant & Sons, Girvan, Scotland",United Kingdom,,,,Imported Scottish gin — cucumber & rose petal botanical
24078001000891,spirits,TANQUERAY,LONDON DRY GIN,321,GIN,00,SCOTLAND,IM-UK-TAN-1,03/19/2024,approved,47.3% Alc./Vol. (94.6 Proof),750 mL,"Charles Tanqueray & Co., Cameron Bridge, Scotland",United Kingdom,,,,Imported London Dry Gin — Diageo
24089001000123,spirits,BOMBAY SAPPHIRE,GIN,321,GIN,00,ENGLAND,IM-UK-BOM-1,03/30/2024,approved,47% Alc./Vol. (94 Proof),750 mL,"Bombay Spirits Company Ltd., Laverstoke, Hampshire, England",United Kingdom,,,,"10 botanicals, vapor infusion, Bacardi-owned"
24091001000234,spirits,BACARDI,SUPERIOR WHITE RUM,331,RUM,00,PUERTO RICO,DSP-PR-BAC-1,04/01/2024,approved,40% Alc./Vol. (80 Proof),750 mL,"Bacardi Corporation, Cataño, Puerto Rico 00962",,,,,"World's best-selling white rum, charcoal filtered"
24012001000567,spirits,CAPTAIN MORGAN,ORIGINAL SPICED RUM,332,RUM - SPICED,00,US VIRGIN ISLANDS,DSP-VI-CM-1,01/12/2024,approved,35% Alc./Vol. (70 Proof),750 mL,"Captain Morgan Rum Co., St. Croix, USVI 00820",,,,,Spiced rum with vanilla and tropical flavors — Diageo
24023001000891,spirits,DON JULIO,BLANCO TEQUILA,371,TEQUILA,00,MEXICO,IM-MX-DJ-1,01/23/2024,approved,40% Alc./Vol. (80 Proof),750 mL,"Tequila Don Julio S.A. de C.V., Atotonilco El Alto, Jalisco, Mexico",Mexico,,,,"100% Blue Weber Agave, highland tequila, Diageo-owned"
24034001000123,spirits,CLASE AZUL,REPOSADO TEQUILA,372,TEQUILA - REPOSADO,00,MEXICO,IM-MX-CA-1,02/03/2024,approved,40% Alc./Vol. (80 Proof),750 mL,"Productos Finos de Agave, Jesús María, Jalisco, Mexico",Mexico,,,,"Ultra-premium, hand-painted ceramic bottle, 8 months aged"
24045001000234,spirits,RÉMY MARTIN,V.S.O.P.,361,COGNAC,00,FRANCE,IM-FR-RM-1,02/14/2024,approved,40% Alc./Vol. (80 Proof),750 mL,"E. Rémy Martin & Co., Cognac, France",France,,,,"Fine Champagne Cognac (blend of Grande & Petite Champagne)"
24056001000345,spirits,JOHNNIE WALKER,BLACK LABEL,381,SCOTCH WHISKY - BLENDED,00,SCOTLAND,IM-UK-JW-1,02/25/2024,approved,40% Alc./Vol. (80 Proof),750 mL,"John Walker & Sons, Kilmarnock, Scotland",United Kingdom,,,,,"Blended Scotch, 12 year age statement, Diageo"
24067001000456,spirits,THE MACALLAN,12 YEAR SHERRY OAK,382,SCOTCH WHISKY - SINGLE MALT,00,SCOTLAND,IM-UK-MAC-1,03/08/2024,approved,43% Alc./Vol. (86 Proof),750 mL,"The Macallan Distillery, Craigellachie, Speyside, Scotland",United Kingdom,,,,"Single malt, 12 years in sherry-seasoned oak, Edrington"
24078001000567,spirits,GLENFIDDICH,12 YEAR,382,SCOTCH WHISKY - SINGLE MALT,00,SCOTLAND,IM-UK-GF-1,03/19/2024,approved,40% Alc./Vol. (80 Proof),750 mL,"William Grant & Sons, Dufftown, Banffshire, Scotland",United Kingdom,,,,"World's most-awarded single malt Scotch, 12 year"
24089001000678,spirits,JAMESON,IRISH WHISKEY,391,IRISH WHISKEY,00,IRELAND,IM-IR-JAM-1,03/30/2024,approved,40% Alc./Vol. (80 Proof),750 mL,"Irish Distillers Ltd., Midleton, Co. Cork, Ireland",Ireland,,,,"Triple-distilled, blend of pot still & grain whiskey, Pernod Ricard"
24091001000789,spirits,CROWN ROYAL,DELUXE,353,CANADIAN WHISKY,00,CANADA,IM-CA-CR-1,04/01/2024,approved,40% Alc./Vol. (80 Proof),750 mL,"Crown Royal Distillery, Gimli, Manitoba, Canada",Canada,,,,"Blend of 50 whiskies, iconic purple bag, Diageo"
24012001000891,spirits,SUNTORY,TOKI JAPANESE WHISKY,392,JAPANESE WHISKY,00,JAPAN,IM-JP-SUN-1,01/12/2024,approved,43% Alc./Vol. (86 Proof),750 mL,"Suntory Holdings Limited, Osaka, Japan",Japan,,,,"Blend from Hakushu, Yamazaki, and Chita distilleries"
